Country,Year,corruption_and_economic_crime,intentional_homicide,violent_and_sexual_crime,firearms_trafficking,access_and_functioning_of_justice
Greece,2022,735.4375,13.420332464589867,1538.835294117647,7715.820622375571,246.8481437659424
Greece,2023,1055.95,7.702644078075656,1889.710526315789,2503.4454332176683,251.7114398355593
Grenada,2019,807.375,3.2551943216761576,52558.26910182521,114.02819577348689,132.52702729889393
Grenada,2020,1288.0,2.820732985816989,117030.72173463354,161.4548433709576,267.670770025662
Grenada,2021,687.6,1.5075057152170834,85398.96439927562,370.4888625648589,281.6434565256204
Grenada,2022,2327.65,2.488100349890675,23631.78096271927,404.3626245965869,302.2137619901597
Grenada,2023,464.0,3.078502376143478,21359.671521108572,38.27593471214088,292.5372842543005
Guam,2019,9799.44943369295,5.663057450805895,56975.49295134166,2815.4085939870165,13337.388631416306
Guatemala,2019,728.6129032258065,315.8450842034358,923.5,3815.9636021013225,2573.6464860981737
Guatemala,2020,912.4285714285714,211.8530078683564,765.623354722291,6804.570152066614,2472.563270779258
Guatemala,2021,559.5,231.31258272912424,6811.045846348783,5388.840083502236,2122.1910199953177
Guatemala,2022,1596.9,223.75872156226268,51866.80751998649,5354.51468863605,2009.515340528956
Guatemala,2023,355.2,371.2238221080282,45855.49012533811,2483.328938924886,2439.273223445758
Guinea,2019,1.0,1.0,1.0,1.0,1.0
Guyana,2019,812.2285714285714,14.275687459022148,2.5,2138.598344116537,152.22673731170022
Guyana,2020,1383.7,16.132290288474813,7.5,2464.864524350264,206.12683426976733
Guyana,2021,448.52941176470586,12.619285641250016,61.0,905.6891381605096,110.80109941113936
Guyana,2022,317.15,12.219203784848435,43011.37456172115,1795.924503330326,196.2943345723492
Guyana,2023,359.6818181818182,16.509215310883466,60.44615384615385,386.7546237473066,126.36315076271548
Haiti,2020,55992.508990951865,432.38608011411975,52076.69525355385,32432.683430444915,3179.950603709738
Haiti,2021,6464.403762266578,545.4687293847861,42932.6543443163,24411.506788070586,13602.061171491003
Haiti,2022,12688.082444397121,737.2044009766067,56145.5817096323,2050.030327790457,6887.249707407367
Haiti,2023,14243.513027914538,1617.016361611246,7072.858778435864,24283.725950965956,5107.505957557412
Holy See,2019,1.0,1.0,1.0,1.0,1.0
Holy See,2020,1.0,1.0,1.0,1.0,1.0
Holy See,2021,5.14434125,436.63537106518777,34937.34488048214,16721.80608875562,6324.299654561935
Holy See,2022,13.28243235,630.0137461355514,1090.8389609016522,35059.15877415701,10519.481454356684
Holy See,2023,7.831204181818181,1137.0277813361365,54371.72653510701,595.8791851729164,56.337874201143606
Honduras,2019,270.6363636363636,254.2267867323673,57649.75958884043,1633.7485427489562,237.53421988574965
Honduras,2020,5788.125,222.14367847087507,42014.17915875505,1335.950878397358,170.12322556073354
Honduras,2021,576.0357142857143,241.6647377293893,1955.5533848657396,2302.7656040089587,540.4293190885097
Honduras,2022,551.2666666666667,224.7754819849632,50005.15993329957,1734.2379959699608,466.7597719977344
Honduras,2023,1020.0909090909092,295.4628359959738,96327.18651723854,451.3322097494644,1107.1161904884812
Hungary,2019,629.5,5.624734549375503,44290.51762465718,12941.367518833607,214.71552394285376
Hungary,2020,561.7727272727273,6.907919692402449,15635.430679464454,11420.628906368578,265.0937233120853
Hungary,2021,574.0,6.256492223604064,102760.67973458166,11728.818260103732,272.52117140474104
Hungary,2022,351.04545454545456,7.965619648692547,530.9659090909091,11374.862560616248,273.891858169301
Hungary,2023,416.5,6.850674231416411,1862.6470588235293,3908.939198855722,656.912460125411
Iceland,2019,806.0714285714286,0.1160070580815088,93236.23470614415,557.6270329518024,149.1176633873903
Iceland,2020,508.2142857142857,0.6381158724160936,47797.32750312521,544.651711947972,124.30685680306806
Iceland,2021,512.7142857142857,0.3214179990454596,4711.892538467957,469.8181690803361,149.2428693018036
Iceland,2022,2332.5,0.5081853442406402,60042.697295324455,420.9141265887702,146.2872989873947
Iceland,2023,1610.0,0.683734176198822,110155.83008537743,108.33082324928796,125.90745835564184
India,2019,13803.925306733821,12432.13585189756,4991.1888203619565,23790.23873282853,1586.546902193999
India,2020,44.0,11874.334600763394,165512.55297922564,24124.557299798984,1485.5711451527286
India,2021,40724.35964709517,11697.313947574852,76639.11948567453,23930.41919760727,4619.258699377585
India,2022,59726.71436112086,13378.069756243034,4259.313558211394,14436.774792481108,3850.9201635389113
Indonesia,2019,28867.22450806194,882.776877726832,12394.280335350513,7029.530295377762,5077.448019417309
